FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-06,DTW,MDT,OO,0,0.03666666666666667
2025-04-28,LAX,JFK,AA,1,0.15666666666666668
2025-04-28,JFK,SFO,DL,0,0.14966931446058415
2025-04-16,CLT,SAV,OH,1,0.24333333333333335
2025-04-25,MIA,LGA,AA,0,0.3260649857421582
2025-04-02,PHL,DEN,AA,1,0.06
2025-04-24,LAS,SLC,DL,0,0.06240096686940902
2025-04-17,DAL,PHX,WN,0,0.13666666666666666
2025-04-09,TPA,CVG,DL,0,0.17
2025-04-26,ALB,ATL,DL,0,0.21
2025-04-16,HNL,ITO,HA,0,0.01633598112725083
2025-04-23,AGS,CLT,OH,0,0.22666666666666666
2025-04-07,BZN,SLC,DL,0,0.013333333333333334
2025-04-03,DFW,IAD,AA,1,0.32347993023627564
2025-04-05,JFK,LAX,DL,0,0.13666666666666666
2025-04-06,FLL,ORD,NK,0,0.4331148060400296
2025-04-12,STX,CLT,AA,0,0.04666666666666667
2025-04-25,JAX,MIA,AA,0,0.2866666666666667
2025-04-03,MKE,AUS,WN,1,0.09666666666666666
2025-04-12,RSW,DEN,UA,0,0.2780720652710718
2025-04-05,SLC,DEN,WN,1,0.14333333333333334
2025-04-20,CLE,SRQ,F9,0,0.37666666666666665
2025-04-26,RDU,DCA,AA,0,0.17658137124297155
2025-04-17,ATL,BOS,DL,0,0.30966931446058416
2025-04-11,PDX,OAK,WN,0,0.38666666666666666
2025-04-21,MRY,SAN,OO,0,0.37
2025-04-03,DEN,LBL,OO,0,0.06
2025-04-13,LAS,JFK,DL,0,0.09666666666666666
2025-04-21,ATL,STL,DL,0,0.21564730411787886
2025-04-18,CAK,CLT,OH,0,0.08
2025-04-15,MSP,SAN,DL,0,0.0893428792230457
2025-04-06,ATL,DEN,F9,0,0.14333333333333334
2025-04-17,FLG,PHX,OO,1,0.14
2025-04-13,DFW,MIA,AA,1,0.541339951621457
2025-04-19,SEA,SAN,AS,0,0.13666666666666666
2025-04-05,SAN,LAX,OO,0,0.07333333333333333
2025-04-17,BNA,AUS,WN,0,0.11
2025-04-20,PHL,FLL,NK,0,0.3
2025-04-18,ORD,FLL,NK,0,0.16666666666666666
2025-04-07,ORD,PDX,AS,0,0.06
2025-04-11,DFW,JAN,OH,0,0.04
2025-04-17,MSP,ORD,DL,0,0.09889366124839868
2025-04-25,OAK,LGB,WN,0,0.14333333333333334
2025-04-17,ATL,EYW,DL,0,0.25966931446058417
2025-04-02,BOS,IND,YX,1,0.14333333333333334
2025-04-23,SLC,ATL,DL,0,0.16666666666666666
2025-04-04,CVG,ORD,OO,1,0.3799670166943018
2025-04-04,BWI,PBI,WN,0,0.11666666666666667
2025-04-07,SJU,CLT,AA,1,0.5754633048176497
2025-04-05,MDW,GRR,WN,0,0.3917122898600371
2025-04-11,SFO,SBA,OO,0,0.04
2025-04-24,PHX,ELP,OO,0,0.2221299714843164
2025-04-13,ATL,PBI,DL,1,0.10837895652670373
2025-04-07,CMH,ATL,DL,1,0.26666666666666666
2025-04-28,DAL,COS,WN,0,0.3158388568832724
2025-04-29,SLC,TUS,OO,0,0.34
2025-04-25,SNA,STS,OO,1,0.10333333333333333
2025-04-28,SBA,LAX,OO,0,0.02
2025-04-17,MCI,AUS,WN,0,0.03666666666666667
2025-04-25,EYW,PHL,AA,1,0.37
2025-04-06,DEN,CLT,AA,0,0.07
2025-04-09,CLT,ATL,DL,0,0.12966931446058416
